30300,"Of cheerfulness, or a good temper - the more it is spent, the more of it remains.",joy,0.56,"Keceriaan, atau temperamen yang baik - semakin banyak digunakan, semakin banyak yang tersisa."
30301,Watch this amazing live.ly broadcast by @mrgummyking #lively #musically,joy,0.56,Tonton siaran langsung yang luar biasa ini oleh @mrgummyking #lively #musically
30302,Watch this amazing live.ly broadcast by @rosannahill #lively #musically,joy,0.56,Tonton siaran langsung yang luar biasa ini oleh @rosannahill #lively #musically
30303,Rec'd call 2day from Haitian church we started in Florida some 15yrs ago. Preparing to acquire their own bldg. Wanted me to know. #rejoicing,joy,0.56,Rec akan menelepon 2 hari dari gereja Haiti yang kami mulai di Florida sekitar 15 tahun yang lalu. Bersiap untuk memperoleh bldg mereka sendiri. Ingin aku tahu. #kegembiraan
30304,"There's a specific joyous 20 song title engiybhekayo, yasezayoni. Need it for le mood",joy,0.56,"Ada 20 judul lagu yang menggembirakan yang saya lihat, Zionist. Membutuhkannya untuk mood"
30305,promise of restoration to the nation of israel...'everywhere you look blessing '..barns/wine overflow.Everything beautiful  #do_u_see,joy,0.56,janji restorasi untuk bangsa israel ... 'kemanapun kau terlihat berkah' ..barns / wine overflow. Semuanya indah #do_u_see
30306,Look forward to the detours because they bring delightful surprises. #lifequote #delight,joy,0.56,Nantikan jalan memutar karena membawa kejutan yang menyenangkan. #lifequote #delight
30307,Watch this amazing live.ly broadcast by @paulzimmer #lively #musically,joy,0.56,Tonton siaran langsung yang luar biasa ini oleh @paulzimmer #lively #musically
30308,talk about a mood pickup i went from depressed to elated so fast,joy,0.56,"berbicara tentang peningkatan suasana hati, saya berubah dari depresi menjadi gembira begitu cepat"
30309,Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. ,joy,0.56,Finn menyanyikan 'Can't Fight This Feeling' di kamar mandi dan Will memata-matai dia adalah salah satu adegan terbaik di acara apa pun.
30310,@NHLstoreNYC I'm cheering for @TeamNA_WCH and @TeamEUR_WCH #NHLNYCSweepstakes,joy,0.56,@NHLstoreNYC Saya mendukung @TeamNA_WCH dan @TeamEUR_WCH #NHLNYCSweepstakes
30311,Watch this amazing live.ly broadcast by @evanhufferd #lively #musically,joy,0.56,Tonton siaran langsung yang luar biasa ini oleh @evanhufferd #lively #musically
30312,@bradshawjp Sweet! #optimism,joy,0.56,@bradjp Manis! #optimisme
30313,Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. #glee,joy,0.56,Finn menyanyikan 'Can't Fight This Feeling' di kamar mandi dan Will memata-matai dia adalah salah satu adegan terbaik di acara apa pun. #lagu
30314,tfw you're en-route to your future :) !! @HUCJIR i'm coming for ya! #openhouse #futurecantor  #NYCletsgo,joy,0.56,tfw kamu sedang menuju masa depan :) !! @HUCJIR aku datang untukmu! #openhouse #futurecantor #NYCletsgo
30315,It's Thursday which means it's Grey's day #TGIT #rejoice,joy,0.56,Ini hari Kamis yang berarti hari Grey #TGIT #rejoice
30316,Watch this amazing live.ly broadcast by @kana_blender  #musically,joy,0.5579999999999999,Tonton siaran langsung yang luar biasa ini oleh @kana_blender #musically
30317,@ofc_ALDUBQC Glad you gained some cheery vibes just by looking at our Happy Meal! 😊,joy,0.5579999999999999,@ofc_ALDUBQC Senang Anda mendapatkan getaran ceria hanya dengan melihat Happy Meal kami! 😊
30318,I found #marmite in Australia. `:) ,joy,0.5579999999999999,Saya menemukan #marmite di Australia. :)
30319,Watch this amazing live.ly broadcast by @huntermcaseyy  #musically,joy,0.5579999999999999,Tonton siaran langsung yang luar biasa ini oleh @huntermcaseyy #musically
30320,"@5ftanomaly aside from that i'm all about pleasing the individual that i'm involved with, my pleasure comes from their pleasure.",joy,0.5579999999999999,"@ 5ftanomaly Selain itu saya semua tentang menyenangkan individu yang terlibat dengan saya, kesenangan saya berasal dari kesenangan mereka."
30321,mustache_harbor: TiburonChamber plus a hearty pour of #yachtrock by #mustacheharbor !,joy,0.55,mustache_harbor: TiburonChamber plus segudang #yachtrock oleh #mustacheharbor!
30322,@jaime_scurr: any team in the world would be totally elated to get to have you on it XD,joy,0.547,@jaime_scurr: tim mana pun di dunia akan sangat senang mendapatkan Anda di sana XD
30323,Tonight my top delight was a Skein of Geese flying about 1 foot above me as I swam in #Windermere. Breeze dropped &amp; it became like glass.,joy,0.544,Malam ini kesenangan utama saya adalah Seekor Angsa yang terbang sekitar 1 kaki di atas saya saat saya berenang di #Windermere. Angin sepoi-sepoi turun & menjadi seperti kaca.
