20600,"Anytime @perezed gets near a mic, someone needs to smack him w a bat. @BBTN #awful #marblesinmouth",fear,0.479,"Kapan pun @perezed mendekati mikrofon, seseorang harus memukulnya. @BBTN #full #lelawanbiru"
20601,Research has determined 70% of #laughter is actually #anxiety.,fear,0.479,Penelitian telah menentukan bahwa 70% dari #tawa sebenarnya adalah #kecemasan.
20602,3:45am and off to the hospital! Elouise's waters have gone!  #Labour #LittleSister #superexcited,fear,0.479,3:45 pagi dan berangkat ke rumah sakit! Air Elouise telah hilang! #Kerja #LittleSister #superexcited
20603,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used!  #appauling  #dismal #beyondajoke #useless,fear,0.479,@Fly_Norwegian cukup sederhana #worst #airline #worstairline yang pernah saya gunakan! #appauling #dismal #beyondajoke #useless
20604,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.,fear,0.475,Admin Obama menolak rencana Texas untuk memeriksa pengungsi untuk terorisme sehingga Texas menarik program pemukiman kembali pengungsi yang diberi makan. Membantu #terror.
20605,"you make my heart shake, bend and break.'",fear,0.473,"kamu membuat hatiku gemetar, membungkuk dan hancur. '"
20606,@GaryLineker yet you and all the other English pundits are afraid to criticise him,fear,0.47100000000000003,@GaryLineker namun Anda dan semua pakar Inggris lainnya takut untuk mengkritiknya
20607,Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep,fear,0.469,Berharap aku kaya jadi aku tidak perlu bangun pagi ini #miskin #sleepy #restless #sad #needsmoresleep
20608,@LakersTakeover it ain't that serious. #HOUvsNE #awful #igotbetterthingstodotonightthandie,fear,0.466,@LakersTakeover itu tidak terlalu serius. #HOUvsNE #awful #igotbetterthingstodotonightthandie
20609,@Joey7Barton I remember Joey slagging England player's off bringing out books after crap tournaments..same same..crap player #bully,fear,0.461,@ Joey7Barton Saya ingat Joey mengolok-olok pemain Inggris yang mengeluarkan buku setelah turnamen omong kosong..sama sama..pemain memo #bully
20610,"@ScottiePass shock horror handicap dodger is at the top 😂 close on the agg cup good , but think pressure will get to mark🤔",fear,0.46,"@ScottiePass shock horror handicap dodger ada di atas 😂 tutup di agg cup bagus, tapi pikir tekanan akan membuahkan hasil🤔"
20611,@bdp514am We are a tired and restless community. We are human and tired of asking for change only to be ignored.,fear,0.45799999999999996,@ bdp514am Kami adalah komunitas yang lelah dan gelisah. Kami adalah manusia dan lelah meminta perubahan hanya untuk diabaikan.
20612,"@eileen_davidson on RHOBH, you just do not want to assume an affair while you were married so you criticize @LisaVanderpump! ",fear,0.45799999999999996,"@eileen_davidson di RHOBH, kamu hanya gak mau berasumsi selingkuh saat menikah jadi kamu mengkritik @LisaVanderpump!"
20613,@kevinrouth Now that's what I call a gameface! #gameface  #intimidate,fear,0.45799999999999996,"@kevinrouth Nah, itulah yang saya sebut gameface! #gameface #intimidate"
20614,"@RealMichaelKay Annoys me to about the Ortiz tribute too, how would the Oriole fans and organization feel if Yanks did that to them? #awful",fear,0.45799999999999996,"@RealMichaelKay Membuat saya kesal tentang penghargaan Ortiz juga, bagaimana perasaan para penggemar dan organisasi Oriole jika Yanks melakukan itu kepada mereka? #mengerikan"
20615,India wants to #shake #hands with # pakistan ..... but as usual pakistan #cheat with every #indian \n\n..........shameless pakistan,fear,0.45799999999999996,India ingin #shake #hands dengan # pakistan ..... tapi seperti biasa pakistan #cheat dengan setiap #indian \ n \ n .......... pakistan yang tidak tahu malu
20616,One more step in long work #visa process is over. Relief. Onto next step. #expat #restless,fear,0.45799999999999996,Satu langkah lagi dalam proses kerja panjang #visa selesai. Bantuan. Ke langkah berikutnya. #expat #restless
20617,Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream 😂  #suchagirl,fear,0.45799999999999996,Merekam lagi #FNAF dan harus FaceTime ibuku untuk memberi tahu dia bahwa aku baik-baik saja setelah aku mengeluarkan jeritan bernada tinggi 😂 #suchagirl
20618,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .,fear,0.45799999999999996,Admin Obama menolak rencana Texas untuk memeriksa pengungsi untuk terorisme sehingga Texas menarik program pemukiman kembali pengungsi yang diberi makan. Membantu.
