20300,@BigBossPeltonen \nLikewise #death #cutting ,fear,0.625,@BigBossPelen \ nSeperti halnya #death #cutting
20301,@MikeGrunwald Anything is better than a Trump ramble. He is awful. Truly truly awful.,fear,0.625,@MikeGrunwald Apa pun lebih baik daripada lelucon Trump. Dia mengerikan. Benar-benar mengerikan.
20302,horrid having a car n no liscence,fear,0.625,mengerikan memiliki mobil dan tidak memiliki SIM
20303,Today has dragged on #restless,fear,0.625,Hari ini telah berlarut-larut dalam #restless
20304,@twinfjournal @TwinningLife111 @KCtwinflame @TFUnion1111 @Para_Priestess @cupidpoetry I went thru the same thing yesterday #panic better2day,fear,0.625,@twinfournal @ Twinife1
20305,@CBCNews Canada should be a driving force of democracy freedom rights - instead we help #dictator #misogyny #Sharia #Islam  #polygamy,fear,0.625,@CBCNews Kanada harus menjadi penggerak hak kebebasan demokrasi - sebagai gantinya kami membantu #dictator #misogyny #Sharia #Islam #polygamy
20306,we shiver in the pause between words \nabandonment still fresh upon the tips of our tongues,fear,0.625,Kami menggigil di jeda di antara kata-kata \ nabaikan masih segar di ujung lidah kami
20307,How I Murdered Your Mother #SpookyTv #horror,fear,0.625,Bagaimana Saya Membunuh Ibumu #SpookyTv #horror
20308,Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 ,fear,0.625,Hanya harus mundur setengah jalan ke atas hutan untuk mengumpulkan anjing dan saya bahkan tidak pernah parkir terbalik dalam hidup saya 🙄
20309,Girls with hairy arms scare me,fear,0.625,Gadis-gadis dengan lengan berbulu membuatku takut
20310,Didn't concede yet but having a nightmare at the back #MUFC,fear,0.625,Belum kebobolan tapi mimpi buruk di lini belakang #MUFC
20311,"me, myself, and I \n #horror movie alone again tonight maybe a #zombie would eat me and finish my life game already - i want #gameover",fear,0.621,"aku, diriku sendiri, dan aku \ n # film horor sendirian lagi malam ini mungkin #zombie akan memakanku dan sudah menyelesaikan game hidupku - aku ingin #gameover"
20312,I feel ghastly and I'm really hoping it's just a post-birthday slump. Back to full research mode tomorrow either way.,fear,0.62,Saya merasa ngeri dan saya benar-benar berharap ini hanya kemerosotan pasca ulang tahun. Kembali ke mode penelitian lengkap besok.
20313,"In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting",fear,0.62,"Selain fiksi, ucapkan semoga berhasil atas makalah penelitian saya semester ini. 15-20 halaman, oh nak. #daunting"
20314,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,fear,0.62,"@Fly_Norwegian, cukup #worst #airline #worstairline yang pernah saya gunakan! #shocking #appauling #dire #dismal #beyondajoke #useless"
20315,Accrington Stanley? Who are they? Exactly. Things looking dire for West Ham despite the win. What's changed since March? #bbcfootball,fear,0.619,Accrington Stanley? Siapa mereka? Persis. Hal-hal yang menakutkan bagi West Ham meski menang. Apa yang berubah sejak Maret? #bbcfootball
20316,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,fear,0.616,@ RogueCoder250 Kami berada dalam banyak masalah !! Saya tidak berpikir Rev akan melihat sisi lucu dari proyek kami.
20317,mmmm i'm kinda sad i hope i can shake this before school,fear,0.616,mmmm aku agak sedih kuharap aku bisa mengguncang ini sebelum sekolah
20318,Late night #thoughts. Feeling #restless.,fear,0.615,Larut malam #pikiran. Merasa #restless.
20319,"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety #anxiety",fear,0.604,"Bagaimanapun agen itu tidak autentik, saudara perempuan saya masih mencintaiku, & saya masih hidup. Jadi saya kira itu tidak terlalu buruk. #sosialkecemasan #kecemasan"
20320,@carlybigelow13 first you take the room now you wanna beat me up #bully,fear,0.604,@ carlybigelow13 pertama Anda mengambil kamar sekarang Anda ingin memukul saya #bully
20321,@datboyJuniorE lool soon as man start loosing weight.  Its panic,fear,0.604,@datboyJuniorE lol segera setelah pria mulai menurunkan berat badan. Ini panik
20322,@jndtech horrible.,fear,0.604,@jndech mengerikan.
20323,“The #greatest fear #dogs know is the #fear that you will not come back when you go out the #door #without them.”   \n  ―#Stanley #Coren,fear,0.604,“Ketakutan #terbesar yang #Anjing tahu adalah #ketakutan bahwa Anda tidak akan kembali saat Anda keluar dari #pintu #tanpa mereka.” \ n - # Stanley #Coren
20324,Fosu Mensah is having a complete nightmare! It's the reason all Northamptons attacks come from the left.,fear,0.604,Fosu Mensah mengalami mimpi buruk total! Itu alasan mengapa semua serangan Northamptons datang dari kiri.
20325,"@Ms_Asia_Pacific @jgsuing @PilosopoTanya @HuffingtonPost @HuffPostPol as a fellow UP grad, i shiver at the shallowness of his arguments",fear,0.604,"@Ms_Asia_Pacific @jgsuing @PilosopoTanya @HuffingtonPost @HuffPostPol sebagai sesama lulusan UP, saya menggigil karena argumennya yang dangkal"
20326,How can America be so openly embracing racism. ,fear,0.604,Bagaimana Amerika bisa begitu terbuka menerima rasisme.
20327,Overtime... #TeamNA #WCH2016 #nervous,fear,0.604,Lembur ... #TeamNA # WCH2016 # gugup
20328,"From harboring Osama bin Laden to its relationship with Haqqani network, there is enough evidence to prove Pakistan is sponsoring terrorism",fear,0.604,"Dari menyembunyikan Osama bin Laden hingga hubungannya dengan jaringan Haqqani, ada cukup bukti untuk membuktikan Pakistan mensponsori terorisme"
20329,Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP 🚴100k #apprehension?,fear,0.604,Merasa seperti saya mengalami tidur malam terburuk yang pernah ada - tidak bagus sebelum perjalanan #London ke #Brighton #cycle untuk @DMTFYP 🚴100k #apprehension?
20330,We're all in D. T. (Discipleship training or detox) for something. #messy #fearful #cutoff #choosefreedom #CryOut16,fear,0.604,Kita semua berada di D.T (pelatihan pemuridan atau detoks) untuk sesuatu. #messy #fearful #cutoff #choosefreedom # CryOut16
20331,Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream 😂 #horror #suchagirl,fear,0.604,Merekam lagi #FNAF dan harus FaceTime ibuku untuk memberi tahu dia bahwa aku baik-baik saja setelah aku mengeluarkan jeritan bernada tinggi 😂 #horror #suchagirl
20332,@bobcesca_go @sesmithesq \nDidn't Florida 2000 teach you anything? I live here in Palm Beach County and lived through that nightmare.,fear,0.604,@bobcesca_go @sesmithesq \ nApakah Florida 2000 tidak mengajari Anda sesuatu? Saya tinggal di sini di Palm Beach County dan hidup melalui mimpi buruk itu.
20333,@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. #intimidated,fear,0.604,@ markhberman2003 @LanceZierlein @ 790blessing seluruh tim dari pelatih di bawah bermain dan melatih ketakutan dari jumpstreet. #intimidated
20334,How can America be so openly embracing racism. #dismayed,fear,0.604,Bagaimana Amerika bisa begitu terbuka menerima rasisme. #dismayed
20335,Donnie trumpeter is a vapid and vacant vile viper slithering through the landscape and playing on the gears of the fearful and afraid.,fear,0.604,Donnie trumpeter adalah viper hambar dan hampa yang merayap melintasi lanskap dan bermain di roda gigi yang ketakutan dan ketakutan.
20336,@hoystweet Are the pre-purchased tickets being sent soon? Coming to the Saturday evening show... tickets are a no show! #panic #hoys 🐴🦄,fear,0.604,@hoystweet Apakah tiket pra-beli akan segera dikirim? Datang ke pertunjukan Sabtu malam ... tiket tidak ada! #panic #hoys 🐴🦄
20337,Super shitting it about this tattoo ,fear,0.604,Sangat sial tentang tato ini
20338,when people hit on me i try to shake them off by talking about how i hide from communism,fear,0.604,"ketika orang-orang menyerang saya, saya mencoba untuk melepaskan mereka dengan berbicara tentang bagaimana saya bersembunyi dari komunisme"
20339,How am I supposed to intimidate the freshman if half of them are taller than I am??,fear,0.604,Bagaimana saya bisa mengintimidasi mahasiswa baru jika setengah dari mereka lebih tinggi dari saya ??
20340,"How the fuck do we #live our lives admiring everybody that ever just did something to #win it, then be #afraid to even try to do it yourself",fear,0.604,"Bagaimana kita # menjalani hidup kita mengagumi semua orang yang pernah melakukan sesuatu untuk # memenangkannya, kemudian # takut bahkan untuk mencoba melakukannya sendiri"
20341,@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol ,fear,0.604,@GuardianAus @guardian karena ada kemungkinan realistis bahwa badut mungkin menjadi presiden berikutnya. # badut #uspol
20342,Onus is on #Pak to act against #terror groups which find all types of support for cross border terror: #MEA,fear,0.604,Ada tanggung jawab di #Pak untuk bertindak melawan #terror grup yang menemukan semua jenis dukungan untuk teror lintas batas: #MEA
20343,Round 2 #panic #pcola,fear,0.604,Putaran 2 #panic #pcola
20344,"2day's most used term is, #terrorism, with many addresses and forms. On my #opinion, the only form of terrorism in this world is, injustice!",fear,0.604,"Istilah 2day yang paling sering digunakan adalah, #terrorism, dengan banyak alamat dan bentuk. Di #opini saya, satu-satunya bentuk terorisme di dunia ini adalah, ketidakadilan!"
20345,"Malins with another surging run forward almost sets McCreadie up at the far post.  Decent game for the neutral, nervous for @Lewes_cfc fans",fear,0.6,"Malins dengan kecepatan tinggi lainnya hampir membuat McCreadie berada di tiang jauh. Permainan yang layak untuk yang netral, gugup untuk penggemar @Lewescfc"
20346,@LBC - I can't read this article but headline indicates a horror story. Lock sick chavs up and throw away the key.,fear,0.6,@ LBC - Saya tidak bisa membaca artikel ini tetapi judulnya menunjukkan cerita horor. Kunci chavs sakit dan buang kuncinya.
20347,The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. #FDT16,fear,0.595,Fakta bahwa kami memiliki calon presiden yang berbicara seperti Trump sangat mengkhawatirkan. Saya berpikir lebih tinggi dari teman-teman saya. # FDT16
20348,@BraveHermione_ + and gives it to hear] 'Please.. I can tell you anything if you want to listen. maybe you're dont afraid anymore of me +,fear,0.5920000000000001,@BraveHermione_ + dan memberikannya untuk didengar] 'Kumohon .. Aku bisa memberitahumu apa saja jika kamu ingin mendengarkan. mungkin kamu tidak takut lagi padaku +
20349,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,fear,0.59,#NewYork: Beberapa aktivis #Baloch & India menggelar demonstrasi di luar kantor pusat @UN menuntut Pak untuk menghentikan ekspor #teror ke India
20350,"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety ",fear,0.588,"Bagaimanapun agen itu tidak autentik, saudara perempuan saya masih mencintaiku, & saya masih hidup. Jadi saya kira itu tidak terlalu buruk. #socialanxiety"
20351,Sickness bug! #awful,fear,0.583,Kutu penyakit! #mengerikan
20352,@gowoonist i got that but you were alarming,fear,0.583,@gowoonist saya mengerti tetapi Anda mengkhawatirkan
20353,not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years #terrible,fear,0.583,tidak hanya @EGX terburuk yang pernah saya hadiri tetapi juga termasuk salah satu kontra terburuk yang pernah saya kunjungi dalam 5 tahun terakhir #terrible
20354,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it ,fear,0.583,Rumah adalah tempat hati berada! Love my little island but my Birth city just ain't acting right & I'm not feeling too good about it
20355,"#America finding #gratitude amidst the sadness and frustration about race, #fear, anger and #racism, i remain hopeful _ i'm an earth fixer'",fear,0.583,"#America menemukan #syukur ditengah kesedihan dan frustasi tentang ras, #ketakutan, kemarahan dan #racism, saya tetap berharap _ I'm an earth fixer '"
20356,"David's #anxiety is going to send him home. As someone who also suffers, learning to look normal is an essential coping skill. #survivor",fear,0.583,"Kecemasan David akan mengirimnya pulang. Sebagai seseorang yang juga menderita, belajar untuk terlihat normal adalah keterampilan penting untuk mengatasi masalah. #penyintas"
20357,@jjskeffington @foodbelfast I dread to think!,fear,0.583,@jjskeffington @foodbelfast Saya takut untuk berpikir!
20358,I'm such a shy girl🙄,fear,0.583,Aku gadis yang pemalu🙄
20359,Watching Paranormal Activity: The Ghost Dimension. I'm not sure how I feel about it yet. ,fear,0.583,Menonton Aktivitas Paranormal: Dimensi Hantu. Saya belum yakin bagaimana perasaan saya tentang itu.
20360,@CP24 And I hope when the police met him at the subway that they took him straight to jail 😕 ,fear,0.583,"@ CP24 Dan saya berharap ketika polisi bertemu dengannya di kereta bawah tanah, mereka langsung membawanya ke penjara 😕"
20361,onus is on Pakistan' : @MEAIndia after #Uri #terror attack,fear,0.583,tanggung jawab ada di Pakistan ': @MEAIndia setelah serangan #Uri #terror
20362,"#internationaldayofpeace Want peace,prepare for war. Destroy terror states like Pakistan",fear,0.583,"#internationaldayofpeace Ingin damai, bersiaplah untuk perang. Hancurkan negara teror seperti Pakistan"
20363,"They're both awful in their own ways, but just saying. The way he treated Aniston alone makes him a nightmare male narcissist to be avoided.",fear,0.583,"Mereka berdua mengerikan dengan caranya masing-masing, tapi hanya mengatakan. Cara dia memperlakukan Aniston sendirian membuatnya menjadi pria narsisis mimpi buruk yang harus dihindari."
20364,Georgia Tech's Secondary is as soft as a marshmallow.  #horrible,fear,0.583,Sekunder Georgia Tech selembut marshmallow. #mengerikan
20365,#Muslims are the principle victims of #terrorism. More Muslims are dying at the hands of these #terrorists than anyone else. #YounusAlGohar,fear,0.583,#Muslim adalah korban utama #terorisme. Lebih banyak Muslim yang sekarat di tangan para #teroris ini daripada siapa pun. #YounusAlGohar
20366,Angelino's been horrific,fear,0.583,Angelino sangat mengerikan
20367,@BaileyDemented @hsmitty3 ill kill u if u bully her 😤😤😤,fear,0.583,@BaileyDemented @ hitty3 sakit membunuhmu jika kamu menggertaknya 😤😤😤
20368,"Rollover car crash on warren st, traffic is horrid #Boston",fear,0.583,"Rollover kecelakaan mobil di warren st, lalu lintas mengerikan #Boston"
20369,@NRA @HillaryClinton  She never said anything about taking away guns but I would now bc of your stupid scare tactics for gun sales.Sickening,fear,0.583,@NRA @HillaryClinton Dia tidak pernah mengatakan apa-apa tentang mengambil senjata tetapi sekarang saya akan mengikuti taktik menakut-nakuti bodoh Anda untuk penjualan senjata.
20370,Ugh I want to punch a wall every time I have to use @windows 10. Literally the worst product ever made #windows10  #killme,fear,0.583,Ugh Saya ingin meninju dinding setiap kali saya harus menggunakan @windows 10. Secara harfiah produk terburuk yang pernah dibuat # windows10 #killme
20371,Looks like #India is finally taking #Pakistan n it's #terrorism to task.#uriattacks.,fear,0.583,Sepertinya #India akhirnya membawa #Pakistan dan #terorisme menjadi tugasnya. # Uriattacks.
20372,"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. ",fear,0.583,"Rasanya seperti tidak ada rumah di luar sana untuk kami. Dengan persyaratan paling dasar yang saya miliki, secara harfiah tidak ada pilihan."
20373,Saga: When all of your devices and teles fail just in time for bake off  #gbbo,fear,0.583,Saga: Ketika semua perangkat dan telepon Anda gagal tepat pada waktunya untuk memanggang #gbbo
20374,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless,fear,0.583,Rumah adalah tempat hati berada! Love my little island but my Birth city just ain't acting right & I'm not feel too good about it #restless
20375,"If purging was real, Kenya would be the country where the elite purge from choppers while the low-class cower under their beds for 12 hours",fear,0.583,"Jika pembersihan itu nyata, Kenya akan menjadi negara tempat elit membersihkan helikopter sementara kelas rendah meringkuk di bawah tempat tidur mereka selama 12 jam."
20376,Appropriate that first secretary at permanent mission is tasked with demolition of #terror state #Pakistan - Like 'renunciation of lies' bit,fear,0.583,Sesuai bahwa sekretaris pertama di misi permanen ditugaskan untuk menghancurkan #terror state #Pakistan - Seperti bit 'penolakan kebohongan'
20377,I really want to go for fright night but I really don't 😁,fear,0.583,Saya benar-benar ingin pergi untuk malam yang menakutkan tetapi saya benar-benar tidak 😁
20378,@NaziaMemon01 yeah a terror packed terror supported speech..,fear,0.583,"@ NaziaMemon01 ya, teror dikemas teror didukung pidato .."
20379,@peacexxanna your nightmare,fear,0.583,@ Peacexxanna mimpi burukmu
20380,PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story.  #CharlotteProtest #CharlotteRiot,fear,0.583,PASTOR - 15 KAKI dari korban penembakan selama protes mengatakan dia skeptis dengan cerita resmi. #CharlotteProtest #CharlotteRiot
20381,When you arrive at the office the day before your first ever festival and the Internet is down ,fear,0.583,Ketika Anda tiba di kantor sehari sebelum festival pertama Anda dan Internet sedang down
