10100,Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,0.759,Kenakan kaus kaki pop-up dan mereka TERUS JATUH DI DALAM SEPATU SAYA # kemarahan
10101,"The majority of people irritate the fuck out of me, cba with people ahahah",anger,0.862,"Mayoritas orang mengganggu saya, cba dengan orang-orang ahahah"
10102,@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger,0.708,@oscar_perria seorang multijutawan manja bocah yang mendapat Dalam huff diri benar karena temannya adalah Muslim adalah non starter bye!
10103,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger,0.708,Jangan gunakan menggunakan @mothercareuk @Mothercarehelp lagi !! Orang-orang ini tidak bisa mendapatkan apapun dengan benar !!
10104,@kingvee_ don't provoke me to anger,anger,0.708,@kingvee_ jangan memancing saya untuk marah
10105,You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708,Anda mengeluh sepanjang waktu dan kemudian bertanya-tanya mengapa orang tidak pernah ingin melihat Anda. Anda membuat saya marah. Stfuuu !!!!
10106,Bloods boiling,anger,0.708,Darah mendidih
10107,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger,0.708,"Biarkan pada, aturan, nomor 1 pembersihan karpet mereka !!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet"
10108,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger,0.8170000000000001,@DarkLuneFantasy wallah darahku mendidih aku perlu tidur siang ugh
10109,I swear if @devincameron23 blocks me I'm going to hit her back ,anger,0.708,"Aku bersumpah jika @ devincameron23 memblokirku, aku akan memukulnya kembali"
10110,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger,0.708,"@jennylhowe Saya marah pada siswa karena rasis, dan guru karena tidak menghentikannya, dan di kelas karena membiarkannya berlalu."
10111,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger,0.708,Saya akan memblokir semua orang di mana saja untuk memposting tentang badai. Saya pikir semua orang sadar akan hujan sialan itu dan apa yang tidak berhenti begitu saja. #damn #rage
10112,I'm just a fuming ball of anger today 🙃,anger,0.708,Aku hanya amarah yang mengamuk hari ini 🙃
10113,I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger,0.75,Saya tidak mengetahui tentang ini sampai hari ini karena bff saya memberi tahu saya. Saya sangat muak dan tersinggung dengan ini.
10114,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger,0.688,@VerizonSupport terima kasih telah mengatakan Saya dan istri saya mendapatkan iPhone hari ini dan kemudian kehilangan keduanya tanpa ETA # terima kasih #angry
10115,A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger,0.688,A @FirstBSA tidak muncul? Mengapa saya tidak terkejut. Terlambat bekerja lagi! #fuming
10116,Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger,0.688,Petugas Polisi .... TIDAK boleh hanya 'menembak' manusia tanpa provokasi. Itu salah. \ N \ n @ ORConservative @MichaelaAngelaD
10117,angry already,anger,0.688,sudah marah
10118,... flat party and I instantly get bollocked about it. #fuming,anger,0.69,... pesta datar dan saya langsung tercengang tentang itu. #fuming
10119,@XemitSellsMagic add tracking but resent them,anger,0.688,@XemitSellsMagic menambahkan pelacakan tetapi membencinya
10120,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,0.688,@FoxNews @SheriffClarke @FoxNewsInsider Orang ini menghina sistem peradilan kita.
10121,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger,0.764,"SESEORANG BIARKAN ULAR DI RUMAH SAYA, SAYA BERTARUH @Ya_Boi_Huck AKU MEMBUNUH BUGGER ITU SAAT SAYA MENDAPATKAN TANGAN SAYA PADA DIA # HuckFP2"
10122,"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger,0.688,"@ChronAVT ummm, blognya mengatakan 'dengan Simon Stehr yang berpura-pura ke-7' ... Saya akan menunggu penyelidikan segera. Ini adalah #outrage"
10123,@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,anger,0.688,Preman bersenjata hitam @GroupAnon dengan catatan membawa senjata secara ilegal ditembak oleh polisi hitam. #outrage Ini lelucon. Biarkan mereka menghancurkan kota mereka
10124,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger,0.688,..... bangun dan berkata 'sudahkah kamu mencoba mengganti popoknya?' 😡👊🏼 #rage !!!!
10125,Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger,0.688,Seseorang perlu memberi tahu Candice bahwa dia akan terjebak dengan cibiran menyebalkan itu jika angin berubah. #GBBO
10126,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,anger,0.688,@ brian5or6 matikan itu! Tombol Beranda di bawah Aksesibilitas. \ dan Kapan inovasi menjadi pemalsuan pikiran? . #iphonePhoneHome
10127,I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,Saya suka ketika orang membuat rencana untuk saya tanpa benar-benar menyertakan saya dalam proses #rage ini
