10600,@marthalyssa yep. LOL #bitter,anger,0.41700000000000004,@sukasukaa_suka_suka_suka_suka_suka_suka_suka_suka_suka_uka_suka_suka_suka. LOL #pahit
10601,straight people are canoodling on the quad and I'm ,anger,0.41700000000000004,orang straight canoodling di quad dan aku
10602,remember when that guy got #angry that i kept saying gary sanchez was the best baseball player in the world... lmao,anger,0.41700000000000004,"ingat ketika orang itu marah, aku terus mengatakan gary sanchez adalah pemain baseball terbaik di dunia ... lmao"
10603,"What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger)",anger,0.41700000000000004,"Apa anak kucing Kali? [Dia bertanya, cemberut melingkar di dahi berkulit putih saat dia menunjukkan bekas luka] Seekor kucing - (@ScarredTiger)"
10604,@everycolorbot more like every color looks the same #triggered #colorblind ,anger,0.396,@everycolorbot lebih seperti setiap warna terlihat sama #triggered #colorblind
10605,My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,anger,0.396,Suami saya menemukan ada penggemar hoki gila lainnya seperti saya saat kami menunggu di baris 4 dari 6 stiker jendela untuk hoki SJ NHL / AHL.
10606,"@ParrishWalton @kjmgolf Also, our best assets on offense are our RB's and our WR's (longterm). Have to have an offense to utilize both.",anger,0.396,"@ParrishWalton @kjmgolf Selain itu, aset terbaik kita untuk pelanggaran adalah RB dan WR kita (jangka panjang). Harus memiliki pelanggaran untuk memanfaatkan keduanya."
10607,@UnknownAndYoung — a low growl escaping him. Oh oh.,anger,0.396,@UnknownAndYoung - geraman pelan yang keluar darinya. Oh oh.
10608,@RiotzXVl papercuts sting and stub ur toe last for like 10 secs,anger,0.396,Potongan kertas @RiotzXVl terasa perih dan jari kaki Anda terpotong selama 10 detik
10609,I've been wanting salty fries from McDonald's since yesterday and I'm burning my fingers eating them bc these shits 🔥🔥🔥,anger,0.396,Saya sudah menginginkan kentang goreng asin dari McDonald's sejak kemarin dan saya membakar jari saya memakannya karena omong kosong ini 🔥🔥🔥
10610,Love how Megan is raging about this Kendall Jenner photo and I'm sat here like 🤔🙃,anger,0.396,Senang bagaimana Megan mengamuk tentang foto Kendall Jenner ini dan saya duduk di sini seperti 🤔🙃
10611,@josephperson Cam is still rattled from the backlash he received when he made the black QB comment and suffered the wrath of White America.,anger,0.396,@josephperson Cam masih bingung dengan reaksi yang dia terima ketika dia membuat komentar hitam QB dan menderita kemarahan orang kulit putih Amerika.
10612,Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,anger,0.42700000000000005,Karena Anda tersinggung oleh kebohongan Alexandria Goddard bukan berarti saya teman Deric atau yang lainnya. Murni ekspedisi memancing.
10613,"Y'all really insult coz of soccer???  Lmao, wow!!!!!!",anger,0.396,"Kalian benar-benar menghina karena sepak bola ??? Lmao, wow !!!!!!"
10614,What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,anger,0.396,Sungguh mengerikan untuk dilihat dan tidak memiliki penglihatan- \ dan Helen Keller- \ n \ n-Mulailah dengan akhir dalam pikiran- \ n \ Stephen Covey- \ n \ n #whereareugoing
10615,@StarFlowerz17 @DreamerAbe #bitter. Nicole and Cory is why she was evicted.,anger,0.396,@ StarFlower17 @DreamerAbe #bitter. Nicole dan Cory adalah alasan mengapa dia diusir.
10616,@rumanaa_r @DaiIyRoasts what did I do to offend you? 🙄😭😂,anger,0.396,@rumanaa_r @DaiIyRoasts apa yang saya lakukan untuk menyinggung perasaan Anda? 🙄😭😂
10617,What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n#whereareugoing #relentless,anger,0.396,Sungguh hal yang mengerikan untuk dilihat dan tidak memiliki penglihatan- \ n \ nHelen Keller- \ n \ n-Mulailah dari akhir dalam pikiran- \ n \ nStephen Covey- \ n \ n # whereareugoing #relentless
10618,"The bitter the battle, the sweeter the victory...",anger,0.396,"Pahitnya pertempuran, semakin manis kemenangannya ..."
10619,i resent biting my tongue.,anger,0.396,Saya benci menggigit lidah saya.
10620,You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,anger,0.396,Anda tidak dapat melawan gajah sampai Anda berhasil melawan babi. #kutipan hari ini
10621,People often grudge others what they cannot enjoy themselves.,anger,0.396,Orang sering kali mendendam pada orang lain apa yang tidak bisa mereka nikmati sendiri.
10622,@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈😂😂,anger,0.396,@ SarahMi40605180 @kaileighhxo maaf bikin gelembungnya pecah tapi ilusi ga pernah ada 🙈😂😂
10623,"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,0.396,"@jaybusbee Nah, bukan Archie. Jangan tersinggung tapi dia agak tua."
10624,Scored madden 13 on vita for $20AU today.  Bloke didn't know what he had. I'd have happily paid $70 🤑 my only ever bargain! #bargain #vit,anger,0.396,Mencetak madden 13 di vita seharga $ 20AU hari ini. Bloke tidak tahu apa yang dimilikinya. Saya akan dengan senang hati membayar $ 70 🤑 satu-satunya penawaran saya! #bargain #vit
10625,Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.,anger,0.396,Sekarang mereka mengkhawatirkan pertengkaran. Saya akan menerima lecet (yang… masuk) untuk telepon yang dapat saya gunakan dengan tangan basah atau buang air di toilet kapan saja.
10626,"If ydu yell 'fire' in a crowded theater you will burst into flames. It's a cool trick, bu: only once.",anger,0.396,"Jika ydu berteriak 'api' di teater yang ramai, Anda akan terbakar. Itu trik yang keren, bu: hanya sekali."
10627,Congress acting indignant over the  #EpiPen pricing is quite disingenuous since they craft the laws that allow such gouging!!,anger,0.396,Kongres yang marah atas harga #EpiPen cukup tidak jujur ​​karena mereka membuat undang-undang yang memungkinkan pencungkilan seperti itu !!
10628,"@ToddDoug @Ziggomattic Yeah, this actually supports why I tweeted in this thread initially. Because of the article's righteous indignation.",anger,0.396,"@ToddDoug @Ziggomattic Ya, ini sebenarnya mendukung mengapa saya men-tweet di utas ini pada awalnya. Karena kemarahan benar artikel itu."
10629,@WWE is the live event Brock vs Orton 2 this Saturday on the WWE Network? If not it needs to be! :) #wwe @RandyOrton @HeymanHustle #revenge,anger,0.396,@WWE adalah acara langsung Brock vs Orton 2 hari Sabtu ini di WWE Network? Jika tidak perlu! :) #wwe @RandyOrton @HeymanHustle #revenge
10630,@edquinn63 how can you even forget to pick ur fave child up from school ,anger,0.396,@ edquinn63 bagaimana Anda bisa lupa mengangkat wajah anak Anda dari sekolah
10631,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",anger,0.396,"Berterima kasih untuk semua orang yang kelaparan dalam hidup saya! Lapar untuk belajar, berubah, tumbuh, membantu, dll - tidak yakin ada yang lebih baik!"
10632,@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol,anger,0.396,@ St8edge4life88 eh baiklah saya bisa melakukan pertandingan sengatan vs kaktus pecundang daun wcw di pesta di pantai lol
10633,@warFarePower dip it in boiling water,anger,0.396,@warFarePower celupkan ke dalam air mendidih
10634,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming ,anger,0.42200000000000004,Saya memiliki amukan kemarahan ep 2 segera keluar. Saya akan terus mengabari Anda di #YouTube #youtubegaming
10635,"When anger rises, think of the consequences. #quote #wisdom #anger",anger,0.433,"Saat kemarahan meningkat, pikirkan konsekuensinya. #quote #wisdom #anger"
10636,New madden kicking 🚮,anger,0.396,Tendangan gila baru 🚮
10637,I was going to say that Rooney is a shadow of his former self but I don't want to offend any shadows. #NTFCvMUFC,anger,0.396,"Saya akan mengatakan bahwa Rooney adalah bayangan dari dirinya yang dulu, tetapi saya tidak ingin menyinggung bayangan apa pun. #NTFCvMUFC"
10638,When you burst out crying alone and u realize that no one truly knows how unhappy you really are because you don't want anyone to know,anger,0.396,Ketika Anda menangis sendirian dan Anda menyadari bahwa tidak ada yang benar-benar tahu betapa tidak bahagianya Anda karena Anda tidak ingin ada yang tahu.
10639,schneiderlin taking his revenge for the 2 fouls,anger,0.396,schneiderlin membalas dendam atas 2 pelanggaran
10640,@JustinRow10 dude the new madden 17? Haha,anger,0.231,@ JustinRow10 Bung 17 madden baru? Ha ha
10641,you are an angry glass of vodka,anger,0.375,Anda adalah segelas vodka yang marah
10642,one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge,anger,0.435,satu bulan sampai ulang tahun seseorang dan saya pikir sudah waktunya untuk memamerkan bahwa saya memberi mereka sesuatu yang sangat luar biasa #revenge
10643,"be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better",anger,0.255,"menjadi kuat, mandiri dan praktis. berhenti hidup di dunia fantasi Anda. snap keluar dari itu. semakin cepat Anda terbiasa dengan kenyataan, semakin baik"
10644,Time wounds all heels.\n\n #DrunkJesus #rt #lol #wisdom #quote #comedy #self #Revenge  #hate #time #funny #politics #Trump #POTUS2016,anger,0.375,Waktu melukai semua tumit. \ N \ n #MabukJesus #rt #lol #wisdom #quote #comedy #self #Revenge #hate #time #funny #politics #Trump # POTUS2016
10645,@TehShockwave turn that grumpy frown upside-down\n\nYou did something next to impossible today,anger,0.375,@TehShockwave membalikkan cemberut pemarah itu \ dan Anda melakukan sesuatu yang hampir mustahil hari ini
10646,you know cyran still hasn't done makeup based on jeongguk's tiddy like i suggested and i'm ,anger,0.375,Anda tahu cyran masih belum merias wajah berdasarkan jeongguk tiddy seperti yang saya sarankan dan saya
10647,The most important thing to #bestrong is to hold your #anger #thoughts,anger,0.375,Hal terpenting untuk #bestrong adalah menahan #anger #thoughts Anda
10648,Gotta wonder why Caller Max listens to the show in the first place if you so incense him @MSignorile,anger,0.375,Harus bertanya-tanya mengapa Caller Max mendengarkan pertunjukan itu sejak awal jika Anda begitu membuatnya marah @MSignorile
10649,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,anger,0.375,Saya yakin saya akan mulai bernyanyi dalam snap story saya di traktor. Gantilah sedikit.
10650,doing some testing with my current earth burst team,anger,0.375,melakukan beberapa pengujian dengan tim ledakan bumi saya saat ini
10651,"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",anger,0.375,"Jika keberuntungan saya di sisa musim gugur berjalan seperti hari ini, saya pikir saya akan menyukai musim ini. #bestdayever #magic #work"
10652,"also other ppl who i love a whole damn lot; erica, joanna, tiff, sirli, harley, anja, (the rest of the gc bc i ran out of chara!)",anger,0.375,"juga orang lain yang sangat saya cintai; erica, joanna, tiff, sirli, harley, anja, (sisa dari gc bc saya kehabisan chara!)"
10653,"@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate",anger,0.375,"@sippycoups jika terlalu sakit untuk makan, saya membaca di suatu tempat bahwa marshmallow bagus karena lembut dan tidak mengganggu"
10654,"“Do not fret if you are not cool! Humans who follow me, become instantly cool!” #Bot",anger,0.375,"“Jangan khawatir jika kamu tidak keren! Manusia yang mengikutiku, langsung keren! ” #Bot"
10655,"@rabpeel snap, seems to be a problem here",anger,0.375,"@rabpeel snap, sepertinya ada masalah disini"
10656,#burning the last of @Yan,anger,0.35600000000000004,#membakar yang terakhir dari @Yan
10657,Can't wait to be in my Ninja turtle costume raging at OSU again this Halloween 😈,anger,0.375,Tidak sabar untuk berada di kostum kura-kura Ninja saya mengamuk di OSU lagi Halloween ini 😈
10658,"@GreyTheTick But even if I jumped through that hoop, it just takes one irate netizen to decide me playing by 'the rules' isn't enough.",anger,0.375,"@GreyTheTick Tetapi bahkan jika saya melompati lingkaran itu, hanya perlu satu netizen yang marah untuk memutuskan saya bermain dengan 'aturan' tidak cukup."
10659,The best revenge is massive success. –Frank Sinatra,anger,0.375,Balas dendam terbaik adalah sukses besar. –Frank Sinatra
10660,"Despite my sharing O'Neill's article, what saddens me about the Gazza case is there seems to be more fury about the sentence than the remark",anger,0.375,"Meskipun saya membagikan artikel O'Neill, yang membuat saya sedih tentang kasus Gazza adalah tampaknya ada lebih banyak kemarahan tentang kalimat itu daripada komentarnya."
10661,I need to stop second guess myself and just go with the first thought and go with it. #relentless,anger,0.425,Saya harus berhenti menebak-nebak sendiri dan hanya memikirkan pikiran pertama dan melanjutkannya. # tanpa henti
