10800,testing ,anger,0.25,pengujian
10801,Happiness is the best revenge,anger,0.25,Kebahagiaan adalah balas dendam terbaik
10802,I forgot about this nice area down here with the fiery hearths,anger,0.25,Aku lupa tentang area bagus di sini dengan perapian yang membara
10803,"It takes a man to suffer ignorance and smile. Be yourself, no matter what they say. #sting",anger,0.25,"Dibutuhkan seorang pria untuk menderita ketidaktahuan dan senyum. Jadilah dirimu sendiri, tak peduli apa yang orang katakan. #menyengat"
10804,@KingNicky7 also madden isn't the funniest game to watch and if there isn't much happening it's boring,anger,0.25,"@ KingNicky7 juga madden bukanlah game paling lucu untuk ditonton dan jika tidak banyak yang terjadi, itu membosankan"
10805,"Mm, okay. Ham for you and turkey for me.' Gives his hair a ruffle before heading back in the kitchen to set out the &gt;&gt;\n@DarkSithKenobi",anger,0.25,"Mm, oke. Ham untukmu dan kalkun untukku. ' Mengacak-acak rambutnya sebelum kembali ke dapur untuk membuka >> \ n @ DarkSithKenobi"
10806,"Oh my. Watching #rage. It's been like, ages",anger,0.25,"Astaga. Menonton #rage. Sudah seperti, berabad-abad"
10807,Like hello? I am your first born you must always laugh at my jokes. ,anger,0.324,"Seperti halo? Saya anak sulung Anda, Anda harus selalu menertawakan lelucon saya."
10808,Sometimes the best motivations come from 'proving them wrong' #energy  #MotivationalQuotes,anger,0.25,Terkadang motivasi terbaik datang dari 'membuktikan bahwa mereka salah' #energy #MotivationalQuotes
10809,Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya  #bwahaha,anger,0.25,Episode #DragRace # AllStars2 malam ini BERIKAN KEHIDUPAN SAYA! Ratu Yaassss! #teamalaska #teamkatya #bwahaha
10810,and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?',anger,0.22899999999999998,dan naoto mengangguk dia juga suka band itu. tapi dia juga cemberut. 'Akankah band' Papa Roach 'ada di konser ...?'
10811,"If someone keeps #laughing at you, don't #fret  . At least u r giving #happiness .'\n#quotes #quotestoliveby",anger,0.22899999999999998,"Jika seseorang terus #menertawakan Anda, jangan #fret. Setidaknya Anda memberikan #kebahagiaan. '\ N # quotes #quotestoliveby"
10812,@wesrucker247 sounds like a good game plan for our offense....,anger,0.20199999999999999,@ wesrucker247 terdengar seperti rencana permainan yang bagus untuk pelanggaran kita ....
10813,The most important thing to #bestrong is to hold your  #thoughts,anger,0.147,Hal terpenting untuk #bestrong adalah menahan #pikiran Anda
10814,So Rangers v Celtic ll ,anger,0.22899999999999998,Jadi Rangers v Celtic ll
10815,I think they may be ,anger,0.22899999999999998,Saya pikir mereka mungkin
10816,I should really study today for chemistry but playing madden is just way more fun.,anger,0.20800000000000002,Saya harus benar-benar belajar hari ini untuk kimia tetapi bermain gila jauh lebih menyenangkan.
10817,i love the word fret so much and im in heaven,anger,0.127,Saya sangat menyukai kata resah dan saya di surga
10818,@WWE is the live event Brock vs Orton 2 this Saturday on the WWE Network? If not it needs to be! :) #wwe @RandyOrton @HeymanHustle ,anger,0.20800000000000002,@WWE adalah acara langsung Brock vs Orton 2 hari Sabtu ini di WWE Network? Jika tidak perlu! :) #wwe @RandyOrton @HeymanHustle
10819,Thursdays at 6pm Vespers &amp; Meditation #prayerful #plainsong #multisensory #candles #incense #psalms #music #silence #faithful sing or listen,anger,0.20800000000000002,Kamis pukul 6 sore Vesper & Meditasi # doa penuh #plainsong #multisensory #candles #incense #psalms #music #silence #faithful bernyanyi atau mendengarkan
10820,pray for my boy huff,anger,0.20800000000000002,berdoa untuk anakku huff
10821,GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED ,anger,0.20800000000000002,GAME VS BUFORD HARI INI PUKUL 5:30 DI RUMAH !!!!!!!!! TIDAK PERNAH SANGAT MENYENANGKAN
10822,snap: hiAleshia 😃,anger,0.20800000000000002,snap: hiAleshia 😃
10823,I need to stop second guess myself and just go with the first thought and go with it. ,anger,0.20800000000000002,Saya harus berhenti menebak-nebak sendiri dan hanya memikirkan pikiran pertama dan melanjutkannya.
10824,630am meeting Olympic House #10golds24 .  #relentless #neverquit #believe #dreambig #TeamTTO #going4gold,anger,0.20800000000000002,630 pertemuan Olympic House # 10golds24. #relentless #neverquit #percaya #dreambig #TeamTTO # going4gold
