sentence1,label
duuhhh istilah kata pepatah tiada kenal mk tiada syang pucuk dicinta ulam tiba jk brjodoh sbgm,non_hs
yg paling bahaya bukan tingkat marahnya org pemarah tapi marahnya org yg capek sabar batas capeknya org sabar itu kapan,non_hs
warga baduy setelah selesai memperingati tradisi seba di pendopo pemkab lebak akan dilanjutkan kembali bertemu dengan gubernur banten wahidin halim hari ini sabtu 21 4 sebabaduy2018,non_hs
hancurkan pdip beserta antek 2nya kumpulan kafirun munafikun,hs
boleh aku islam maba di univ katolik,non_hs
dulu kelas menengah pilih jokowi dan lawan prabowo karena kasus ham sekarang kok hancur gini ya indonesia,hs
pagi pagi sudah galau galau ke kampus ikut try out atau tidak nanti di tengah2 mencret kan ga lucu sedih atau cemberut,non_hs
ahok hrs dibebaskan dia korban sasaran antara lengserkan jokowi tujuan ahir neg syariah momenum fatwa mui diikuti demo 411 212 313 radikal,hs
selama rezim jokowi tidak lengser maka keadilan hanya untuk penguasa saja jalan satu satunya lengserkan jokowi,hs
makanya drpd pusing cari yg sdh hilang mending urus lg surat dkp dr tni u prabowo hahaha <links>,hs
agar kelak dapat mengungkap dengan jujur siapa sebenarnya muhammad dan siapa yg bicara di quran betul pak lukman,non_hs
aku sekolah negeri dari sd sma tapi aku juga enggak pernah mengalami ditanya agamanya apa karena kan sudah ada datanya teman teman kristiani hindu dan budha pun mendapatkan pelajaran agama ketika kami yang muslim sedang mapel agama isl,non_hs
ganyang pki bese a antek anteknya,hs
hah ini enaknya di sate atau di saus padang titit segede gini,hs
pengusaha media sosial harus dipastikan kenetralannya dalam pilkada dan pilpres,non_hs
tolol dan goblok sih pemain teriak gituh ga mikir dampak nya fans masing2 jadi makin panas dan pemain nya sendiri yang rugi saat away takut nya terjadi apa2 harus cepat2 di atasi sebelum panas pisan,hs
naik onta lucu deh kayanya,non_hs
di dalam katolik ada istilah inkulturasi iman katolik diungkapkan atau ditampakkan dalam budaya setempat,non_hs
jadi gak nih mencalonkan cawapres nya mud udah tua bangke masih cuwat cuwit juga nih,hs
